V,Qc
0.4,-0.4305087175765157
0.40087609511889866,-0.430841859212167
0.40175219023779724,-0.4311721358994649
0.40262828535669587,-0.4314995480857765
0.4035043804755945,-0.431824096214491
0.4043804755944932,-0.4321457807250654
0.4052565707133918,-0.4324646020530667
0.4061326658322904,-0.4327805606302159
0.40700876095118904,-0.43309365688443113
0.4078848560700876,-0.4334038912398684
0.40876095118898625,-0.43371126411696354
0.4096370463078849,-0.43401577593247365
0.41051314142678347,-0.4343174270995164
0.4113892365456821,-0.43461621802761025
0.41226533166458074,-0.4349121491227143
0.4131414267834794,-0.4352052207872662
0.414017521902378,-0.43549543342022135
0.41489361702127664,-0.4357827874170891
0.4157697121401753,-0.43606728316997173
0.41664580725907385,-0.4363489210676003
0.4175219023779725,-0.4366277014953714
0.4183979974968711,-0.4369036248353822
0.41927409261576976,-0.43717669146646704
0.42015018773466833,-0.43744690176423096
0.42102628285356697,-0.4377142561010854
0.4219023779724656,-0.43797875484628157
0.4227784730913642,-0.43824039836594414
0.42365456821026287,-0.43849918702310414
0.4245306633291615,-0.4387551211777325
0.42540675844806014,-0.4390082011867714
0.4262828535669587,-0.4392584274041668
0.42715894868585735,-0.4395058001808999
0.428035043804756,-0.4397503198650177
0.42891113892365457,-0.4399919868016648
0.4297872340425532,-0.44023080133311215
0.43066332916145184,-0.4404667637987886
0.4315394242803505,-0.4406998745353095
0.4324155193992491,-0.4409301338765063
0.43329161451814774,-0.441157542153455
0.4341677096370464,-0.44138209969450537
0.43504380475594495,-0.4416038068253082
0.4359198998748436,-0.441822663868843
0.4367959949937422,-0.442038671145447
0.4376720901126408,-0.4422518289728402
0.43854818523153943,-0.44246213766615383
0.43942428035043807,-0.4426695975379553
0.4403003754693367,-0.44287420889827533
0.4411764705882353,-0.44307597205463367
0.44205256570713397,-0.4432748873120637
0.4429286608260326,-0.4434709549731388
0.44380475594493124,-0.4436641753379964
0.4446808510638298,-0.44385454870436264
0.44555694618272845,-0.444042075367577
0.4464330413016271,-0.4442267556206157
